iter	Passed	Remaining
0	112	225827
1	137	137429
2	162	107970
3	186	92882
4	210	84112
5	236	78551
6	261	74375
7	291	72626
8	316	69953
9	340	67767
10	365	66069
11	393	65179
12	418	63958
13	443	62854
14	468	61984
15	493	61224
16	519	60579
17	544	59938
18	569	59334
19	594	58866
20	619	58362
21	643	57877
22	668	57461
23	692	57049
24	717	56714
25	742	56379
26	767	56062
27	791	55751
28	816	55485
29	840	55205
30	864	54941
31	892	54874
32	920	54871
33	945	54687
34	971	54538
35	996	54340
36	1021	54197
37	1046	54028
38	1072	53932
39	1096	53739
40	1120	53555
41	1145	53413
42	1170	53273
43	1195	53165
44	1224	53203
45	1249	53093
46	1275	52993
47	1301	52907
48	1326	52797
49	1350	52683
50	1380	52753
51	1407	52732
52	1432	52624
53	1458	52546
54	1482	52442
55	1507	52346
56	1532	52250
57	1559	52209
58	1584	52116
59	1609	52027
60	1633	51939
61	1658	51835
62	1684	51798
63	1709	51717
64	1734	51623
65	1759	51548
66	1785	51503
67	1810	51429
68	1834	51341
69	1859	51263
70	1884	51208
71	1909	51134
72	1938	51165
73	1965	51162
74	1990	51085
75	2014	51002
76	2039	50935
77	2068	50967
78	2093	50895
79	2118	50849
80	2147	50869
81	2172	50823
82	2197	50759
83	2222	50696
84	2247	50641
85	2274	50627
86	2301	50606
87	2329	50615
88	2354	50556
89	2379	50497
90	2404	50449
91	2430	50399
92	2457	50401
93	2483	50354
94	2509	50321
95	2534	50269
96	2559	50211
97	2585	50170
98	2613	50183
99	2638	50124
100	2663	50070
101	2687	50015
102	2712	49958
103	2737	49912
104	2762	49852
105	2787	49799
106	2811	49746
107	2836	49689
108	2861	49639
109	2888	49625
110	2913	49584
111	2938	49538
112	2966	49539
113	2991	49486
114	3016	49445
115	3041	49396
116	3066	49347
117	3091	49299
118	3116	49262
119	3141	49223
120	3167	49182
121	3191	49135
122	3217	49092
123	3243	49070
124	3269	49043
125	3294	48999
126	3320	48967
127	3344	48917
128	3369	48872
129	3395	48847
130	3421	48811
131	3445	48761
132	3470	48714
133	3495	48681
134	3520	48636
135	3544	48586
136	3570	48555
137	3595	48515
138	3620	48471
139	3647	48464
140	3672	48425
141	3697	48385
142	3722	48335
143	3747	48305
144	3772	48263
145	3797	48226
146	3822	48183
147	3847	48141
148	3871	48098
149	3897	48070
150	3922	48032
151	3947	47996
152	3976	48005
153	4001	47971
154	4026	47929
155	4055	47937
156	4081	47913
157	4106	47873
158	4131	47836
159	4156	47799
160	4183	47784
161	4212	47797
162	4237	47755
163	4267	47771
164	4292	47733
165	4317	47704
166	4343	47672
167	4367	47629
168	4393	47603
169	4422	47606
170	4446	47564
171	4471	47526
172	4497	47493
173	4522	47461
174	4547	47422
175	4572	47386
176	4598	47363
177	4625	47348
178	4650	47311
179	4676	47281
180	4703	47271
181	4728	47234
182	4753	47197
183	4781	47196
184	4807	47167
185	4832	47129
186	4857	47092
187	4884	47073
188	4908	47037
189	4936	47029
190	4967	47045
191	4992	47013
192	5017	46979
193	5043	46952
194	5068	46919
195	5095	46902
196	5122	46884
197	5146	46842
198	5171	46807
199	5196	46770
200	5221	46734
201	5250	46730
202	5276	46711
203	5301	46676
204	5330	46675
205	5355	46637
206	5381	46613
207	5405	46573
208	5430	46532
209	5454	46495
210	5482	46484
211	5507	46452
212	5532	46418
213	5558	46387
214	5583	46358
215	5608	46324
216	5636	46315
217	5661	46281
218	5686	46244
219	5714	46234
220	5739	46201
221	5764	46165
222	5788	46129
223	5813	46093
224	5841	46080
225	5867	46055
226	5893	46034
227	5919	46005
228	5946	45984
229	5976	45996
230	6001	45963
231	6026	45929
232	6052	45901
233	6077	45870
234	6103	45839
235	6128	45808
236	6153	45775
237	6178	45742
238	6203	45706
239	6228	45675
240	6253	45643
241	6279	45613
242	6304	45582
243	6329	45553
244	6354	45520
245	6383	45513
246	6408	45483
247	6434	45454
248	6460	45434
249	6486	45402
250	6511	45370
251	6535	45335
252	6561	45304
253	6586	45276
254	6611	45242
255	6636	45208
256	6660	45172
257	6685	45140
258	6710	45107
259	6735	45074
260	6759	45039
261	6784	45006
262	6809	44971
263	6835	44949
264	6860	44914
265	6885	44883
266	6913	44870
267	6937	44836
268	6963	44806
269	6993	44813
270	7019	44786
271	7044	44753
272	7068	44718
273	7093	44682
274	7117	44647
275	7143	44618
276	7168	44587
277	7192	44554
278	7219	44535
279	7245	44509
280	7270	44477
281	7295	44446
282	7320	44413
283	7344	44379
284	7370	44353
285	7396	44328
286	7422	44300
287	7447	44272
288	7472	44241
289	7501	44232
290	7526	44201
291	7551	44169
292	7576	44140
293	7602	44113
294	7627	44085
295	7655	44069
296	7681	44046
297	7707	44022
298	7733	43992
299	7758	43964
300	7783	43934
301	7807	43899
302	7833	43871
303	7863	43867
304	7889	43846
305	7918	43839
306	7945	43814
307	7975	43812
308	8000	43784
309	8026	43756
310	8051	43725
311	8077	43698
312	8101	43666
313	8130	43657
314	8156	43629
315	8180	43596
